No.,Departamento,Municipio,Año,Tipo de Instrumento ,Ejecutado por
64,Ocotepeque,Sensenti,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
65,Olanchito,Yoro,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
66,San Lorenzo,Valle,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
67,San Marcos de Colon,Choluteca,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
68,Santa Barbara,Atima,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
69,Santa Barbara,Gualala,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
70,Santa Barbara,Las Vegas,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
71,Santa Barbara,Naranjito,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
72,Santa Barbara,San Jose de Colinas,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
73,Santa Barbara,San Luis,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
74,Santa Barbara,Santa Barbara,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
75,Santa Barbara,Trinidad,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
76,Santa Fe,Ocotepque,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
77,Santa Rosa de Copan,Nueva Arcadia,2006,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
78,Siguatepeque,Comayagua,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
79,Trojes,El Paraiso,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
80,Valle,Goascoran,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
81,Valle,Nacaome,2005,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
82,Villanueva,Cortes,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
83,Yamaranguila,Intibuca,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
84,Yoro,Yorito ,2010,Plan Municipal de Gestion de Riesgos ,Proyecto PMDN
85,Yoro,Yoro,2014,Plan Municipal de Gestion de Riesgos,Proyecto Mitigar 
