Institución;Solicitud;Estado actual;Fecha de creación;Fecha de vencimiento
Hospital Escuela Universitario (HEU);SOL-HEU-10-2015;Entregada en plazo;7 de Enero de 2015 a las 11:24;21 de Enero de 2015
Alcaldia Municipal del Distrito Central (AMDC);SOL-AMDC-14-2015;Entregada fuera de plazo;7 de Enero de 2015 a las 14:14;21 de Enero de 2015
Alcaldia Municipal del Distrito Central (AMDC);SOL-AMDC-15-2015;Entregada en plazo;7 de Enero de 2015 a las 14:17;21 de Enero de 2015
Secretaria de Educacion;SOL-SDE-434-2015;Entregada fuera de plazo;7 de Enero de 2015 a las 14:18;21 de Enero de 2015
Comision Nacional de Bancos y Seguros (CNBS);SOL-CNBS-28-2015;Entregada en plazo;7 de Enero de 2015 a las 15:07;21 de Enero de 2015
Instituto de Prevision del Magisterio (INPREMA);SOL-INPREMA-33-2015;Entregada en plazo;7 de Enero de 2015 a las 15:46;21 de Enero de 2015
Secretaria de Educacion;SOL-SDE-435-2015;Entregada fuera de plazo;7 de Enero de 2015 a las 16:12;21 de Enero de 2015
Secretaria de Educacion;SOL-SDE-436-2015;Entregada fuera de plazo;7 de Enero de 2015 a las 16:16;21 de Enero de 2015
Secretaria de Educacion;SOL-SDE-437-2015;Entregada en plazo;7 de Enero de 2015 a las 16:39;21 de Enero de 2015
Secretaria de Relaciones Exteriores (SRE);SOL-SRE-31-2015;Entregada en plazo;7 de Enero de 2015 a las 16:42;21 de Enero de 2015
Secretaria de Educacion;SOL-SDE-438-2015;Entregada en plazo;7 de Enero de 2015 a las 17:15;21 de Enero de 2015
Secretaria de Educacion;SOL-SDE-439-2015;Entregada fuera de plazo;7 de Enero de 2015 a las 21:21;21 de Enero de 2015
Secretaria de Finanzas (SEFIN);SOL-SEFIN-60-2015;Entregada en plazo;7 de Enero de 2015 a las 21:25;21 de Enero de 2015
Secretaria de Educacion;SOL-SDE-440-2015;Entregada fuera de plazo;7 de Enero de 2015 a las 22:06;21 de Enero de 2015
Secretaria de Educacion;SOL-SDE-441-2015;Entregada en plazo;8 de Enero de 2015 a las 08:36;22 de Enero de 2015
Poder Judicial(PJ);SOL-PJ-113-2015;Entregada en plazo;8 de Enero de 2015 a las 09:48;22 de Enero de 2015
Secretaria de Educacion;SOL-SDE-442-2015;Entregada en plazo;8 de Enero de 2015 a las 10:49;22 de Enero de 2015
Banco Central de Honduras (BCH);SOL-BCH-16-2015;No respondida;8 de Enero de 2015 a las 11:37;22 de Enero de 2015
Secretaria de Desarrollo Economico;SOL-SCDSEC-96-2015;Entregada en plazo;8 de Enero de 2015 a las 14:49;22 de Enero de 2015
Secretaria de Educacion;SOL-SDE-443-2015;Entregada en plazo;8 de Enero de 2015 a las 14:52;22 de Enero de 2015
Secretaria de Estado en los Despachos de Gobernacion , Justicia, y Descentralizacion (SGJD);SOL-SDHJGD-26-2015;Entregada en plazo;8 de Enero de 2015 a las 16:55;28 de Enero de 2015
Secretaria de Educacion;SOL-SDE-444-2015;Entregada en plazo;8 de Enero de 2015 a las 19:38;22 de Enero de 2015
Secretaria de Educacion;SOL-SDE-445-2015;Entregada fuera de plazo;8 de Enero de 2015 a las 20:10;22 de Enero de 2015
Instituto de Prevision del Magisterio (INPREMA);SOL-INPREMA-34-2015;Entregada en plazo;8 de Enero de 2015 a las 22:32;22 de Enero de 2015
Secretaria de Educacion;SOL-SDE-446-2015;Entregada en plazo;9 de Enero de 2015 a las 11:14;23 de Enero de 2015
Instituto de Credito Educativo (EDUCREDITO);SOL-EDUCREDITO-5-2015;Entregada en plazo;9 de Enero de 2015 a las 11:27;23 de Enero de 2015
Secretaria de Educacion;SOL-SDE-447-2015;Entregada fuera de plazo;9 de Enero de 2015 a las 12:07;23 de Enero de 2015
Secretaria de Estado en los Despachos de Gobernacion , Justicia, y Descentralizacion (SGJD);SOL-SDHJGD-27-2015;Entregada en plazo;9 de Enero de 2015 a las 14:37;26 de Enero de 2015
Secretaria de Desarrollo e Inclusion Social (SEDIS);SOL-SEDIS-8-2015;Entregada en plazo;9 de Enero de 2015 a las 15:49;23 de Enero de 2015
Comision Nacional de Bancos y Seguros (CNBS);SOL-CNBS-29-2015;Entregada en plazo;9 de Enero de 2015 a las 17:14;23 de Enero de 2015
Secretaria de Educacion;SOL-SDE-448-2015;Entregada fuera de plazo;9 de Enero de 2015 a las 18:07;23 de Enero de 2015
Instituto de Prevision del Magisterio (INPREMA);SOL-INPREMA-35-2015;Entregada en plazo;9 de Enero de 2015 a las 20:05;23 de Enero de 2015
Universidad Nacional Autonoma de Honduras (UNAH);SOL-UNAH-66-2015;Entregada en plazo;10 de Enero de 2015 a las 11:09;23 de Enero de 2015
Secretaria de Educacion;SOL-SDE-449-2015;Entregada fuera de plazo;10 de Enero de 2015 a las 11:17;23 de Enero de 2015
Instituto de Prevision del Magisterio (INPREMA);SOL-INPREMA-36-2015;Entregada en plazo;10 de Enero de 2015 a las 11:56;23 de Enero de 2015
Secretaria de Educacion;SOL-SDE-450-2015;Entregada fuera de plazo;10 de Enero de 2015 a las 13:10;23 de Enero de 2015
Secretaria de Educacion;SOL-SDE-451-2015;Entregada fuera de plazo;10 de Enero de 2015 a las 16:54;23 de Enero de 2015
Secretaria de Educacion;SOL-SDE-452-2015;Entregada fuera de plazo;10 de Enero de 2015 a las 18:29;23 de Enero de 2015
Secretaria de Educacion;SOL-SDE-453-2015;Entregada fuera de plazo;10 de Enero de 2015 a las 18:32;23 de Enero de 2015
Instituto de Credito Educativo (EDUCREDITO);SOL-EDUCREDITO-6-2015;Entregada en plazo;11 de Enero de 2015 a las 14:16;23 de Enero de 2015
Secretaria de Educacion;SOL-SDE-454-2015;Entregada fuera de plazo;11 de Enero de 2015 a las 14:19;23 de Enero de 2015
Secretaria de Educacion;SOL-SDE-455-2015;Entregada fuera de plazo;11 de Enero de 2015 a las 16:40;23 de Enero de 2015
ACI- PARTICIPA;SOL-ONG-5-2015;No respondida;11 de Enero de 2015 a las 23:37;23 de Enero de 2015
Secretaria de Finanzas (SEFIN);SOL-SEFIN-61-2015;Entregada en plazo;12 de Enero de 2015 a las 08:13;26 de Enero de 2015
Secretaria de Finanzas (SEFIN);SOL-SEFIN-62-2015;Entregada en plazo;12 de Enero de 2015 a las 08:20;26 de Enero de 2015
Secretaria de Finanzas (SEFIN);SOL-SEFIN-63-2015;Entregada en plazo;12 de Enero de 2015 a las 08:54;26 de Enero de 2015
Secretaria de Educacion;SOL-SDE-456-2015;Entregada fuera de plazo;12 de Enero de 2015 a las 09:08;26 de Enero de 2015
Secretaria de Salud;SOL-SDS-19-2015;Entregada fuera de plazo;12 de Enero de 2015 a las 09:19;26 de Enero de 2015
Poder Judicial(PJ);SOL-PJ-114-2015;Entregada en plazo;12 de Enero de 2015 a las 10:12;26 de Enero de 2015
Secretaria de Desarrollo Economico;SOL-SCDSEC-97-2015;Entregada en plazo;12 de Enero de 2015 a las 10:54;26 de Enero de 2015
Secretaria de Finanzas (SEFIN);SOL-SEFIN-64-2015;Entregada en plazo;12 de Enero de 2015 a las 11:57;26 de Enero de 2015
Secretaria de Agricultura y Ganaderia (SAG);SOL-SAG-35-2015;Entregada en plazo;12 de Enero de 2015 a las 14:44;26 de Enero de 2015
Congreso Nacional;SOL-CN-17-2015;Entregada en plazo;15 de Enero de 2015 a las 09:21;29 de Enero de 2015
Secretaria de Relaciones Exteriores (SRE);SOL-SRE-32-2015;Entregada en plazo;15 de Enero de 2015 a las 10:15;9 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-115-2015;Entregada en plazo;15 de Enero de 2015 a las 11:19;29 de Enero de 2015
Poder Judicial(PJ);SOL-PJ-116-2015;Entregada en plazo;15 de Enero de 2015 a las 11:23;29 de Enero de 2015
Secretaria de Salud;SOL-SDS-21-2015;Entregada fuera de plazo;16 de Enero de 2015 a las 09:55;30 de Enero de 2015
Secretaria de Salud;SOL-SDS-22-2015;Entregada fuera de plazo;16 de Enero de 2015 a las 10:03;30 de Enero de 2015
Secretaria de Relaciones Exteriores (SRE);SOL-SRE-33-2015;Entregada en plazo;16 de Enero de 2015 a las 12:05;30 de Enero de 2015
Poder Judicial(PJ);SOL-PJ-117-2015;Entregada en plazo;16 de Enero de 2015 a las 13:42;30 de Enero de 2015
Secretaria de la Presidencia (SDP);SOL-SDP-8-2015;Entregada en plazo;16 de Enero de 2015 a las 14:57;30 de Enero de 2015
Poder Judicial(PJ);SOL-PJ-118-2015;Entregada en plazo;19 de Enero de 2015 a las 09:54;2 de Febrero de 2015
Banco Central de Honduras (BCH);SOL-BCH-17-2015;No respondida;19 de Enero de 2015 a las 10:52;2 de Febrero de 2015
Banco Central de Honduras (BCH);SOL-BCH-18-2015;No respondida;19 de Enero de 2015 a las 10:53;2 de Febrero de 2015
Secretaria de Relaciones Exteriores (SRE);SOL-SRE-34-2015;Entregada en plazo;19 de Enero de 2015 a las 11:05;2 de Febrero de 2015
Congreso Nacional;SOL-CN-18-2015;Entregada fuera de plazo;19 de Enero de 2015 a las 13:25;2 de Febrero de 2015
Secretaria de Defensa;SOL-SDD-6-2015;Entregada fuera de plazo;19 de Enero de 2015 a las 20:15;2 de Febrero de 2015
Comision Permanente de Contingencias;SOL-COPECO-51-2015;Entregada fuera de plazo;21 de Enero de 2015 a las 10:00;4 de Febrero de 2015
Universidad Nacional Autonoma de Honduras (UNAH);SOL-UNAH-67-2015;Entregada en plazo;21 de Enero de 2015 a las 17:46;20 de Febrero de 2015
Alcaldia Municipal del Distrito Central (AMDC);SOL-AMDC-16-2015;Entregada en plazo;21 de Enero de 2015 a las 19:07;4 de Febrero de 2015
Comision Permanente de Contingencias;SOL-COPECO-52-2015;Entregada fuera de plazo;22 de Enero de 2015 a las 10:20;5 de Febrero de 2015
Comision Permanente de Contingencias;SOL-COPECO-53-2015;Entregada fuera de plazo;22 de Enero de 2015 a las 10:26;5 de Febrero de 2015
Secretaria de Educacion;SOL-SDE-457-2015;Entregada fuera de plazo;22 de Enero de 2015 a las 14:06;5 de Febrero de 2015
Secretaria de Educacion;SOL-SDE-458-2015;Entregada fuera de plazo;22 de Enero de 2015 a las 14:10;5 de Febrero de 2015
Secretaria de Educacion;SOL-SDE-459-2015;Entregada fuera de plazo;22 de Enero de 2015 a las 14:15;5 de Febrero de 2015
Secretaria de Desarrollo Economico;SOL-SCDSEC-98-2015;Entregada fuera de plazo;22 de Enero de 2015 a las 15:12;5 de Febrero de 2015
Empresa Hondurena de Telecomunicaciones (HONDUTEL);SOL-HONDUTEL-9-2015;Entregada en plazo;23 de Enero de 2015 a las 14:04;6 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-119-2015;Entregada en plazo;23 de Enero de 2015 a las 14:38;6 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-120-2015;Entregada en plazo;23 de Enero de 2015 a las 14:49;6 de Febrero de 2015
Empresa Hondurena de Telecomunicaciones (HONDUTEL);SOL-HONDUTEL-10-2015;Entregada en plazo;23 de Enero de 2015 a las 14:55;6 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-121-2015;Entregada en plazo;23 de Enero de 2015 a las 15:13;6 de Febrero de 2015
Empresa Hondurena de Telecomunicaciones (HONDUTEL);SOL-HONDUTEL-12-2015;Entregada en plazo;23 de Enero de 2015 a las 15:16;6 de Febrero de 2015
Secretaria de Educacion;SOL-SDE-460-2015;Entregada fuera de plazo;23 de Enero de 2015 a las 17:23;6 de Febrero de 2015
Comision Nacional de Telecomunicaciones (CONATEL);SOL-CONATEL-5-2015;Entregada fuera de plazo;25 de Enero de 2015 a las 11:53;6 de Febrero de 2015
Hospital Escuela Universitario (HEU);SOL-HEU-11-2015;Entregada fuera de plazo;25 de Enero de 2015 a las 12:03;19 de Febrero de 2015
Alcaldia Municipal de San Pedro Sula, Cortes (ASPS);SOL-ASPS-7-2015;No respondida;26 de Enero de 2015 a las 08:28;9 de Febrero de 2015
Alcaldia Municipal del Distrito Central (AMDC);SOL-AMDC-17-2015;Entregada en plazo;26 de Enero de 2015 a las 10:28;20 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-122-2015;Entregada en plazo;26 de Enero de 2015 a las 11:21;9 de Febrero de 2015
Secretaria de Salud;SOL-SDS-23-2015;Entregada fuera de plazo;26 de Enero de 2015 a las 15:59;9 de Febrero de 2015
Secretaria de Salud;SOL-SDS-24-2015;Entregada fuera de plazo;26 de Enero de 2015 a las 16:01;9 de Febrero de 2015
Secretaria de Desarrollo Economico;SOL-SCDSEC-99-2015;Entregada en plazo;26 de Enero de 2015 a las 16:07;9 de Febrero de 2015
Secretaria de Agricultura y Ganaderia (SAG);SOL-SAG-36-2015;Entregada en plazo;27 de Enero de 2015 a las 09:45;10 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-123-2015;Entregada en plazo;27 de Enero de 2015 a las 10:36;10 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-124-2015;Entregada en plazo;27 de Enero de 2015 a las 10:52;10 de Febrero de 2015
Comision Nacional de Bancos y Seguros (CNBS);SOL-CNBS-30-2015;Entregada en plazo;27 de Enero de 2015 a las 15:42;10 de Febrero de 2015
Secretaria de Desarrollo Economico;SOL-SCDSEC-100-2015;Entregada en plazo;28 de Enero de 2015 a las 10:07;11 de Febrero de 2015
Procuraduria General de la Republica (PGR);SOL-PGR-3-2015;Entregada en plazo;28 de Enero de 2015 a las 11:07;11 de Febrero de 2015
Direccion Ejecutiva de Ingresos (DEI);SOL-DEI-27-2015;Entregada en plazo;28 de Enero de 2015 a las 14:36;11 de Febrero de 2015
Direccion Ejecutiva de Ingresos (DEI);SOL-DEI-28-2015;Entregada en plazo;28 de Enero de 2015 a las 14:57;11 de Febrero de 2015
Direccion Ejecutiva de Ingresos (DEI);SOL-DEI-29-2015;Entregada fuera de plazo;29 de Enero de 2015 a las 09:00;12 de Febrero de 2015
Instituto Hondureno de Turismo (IHT);SOL-IHT -4-2015;No respondida;29 de Enero de 2015 a las 10:43;12 de Febrero de 2015
Direccion Ejecutiva de Ingresos (DEI);SOL-DEI-30-2015;Entregada en plazo;29 de Enero de 2015 a las 14:08;27 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-125-2015;Entregada en plazo;29 de Enero de 2015 a las 14:37;12 de Febrero de 2015
Secretaria de Estado en los Despachos de Gobernacion , Justicia, y Descentralizacion (SGJD);SOL-SDHJGD-28-2015;Entregada en plazo;29 de Enero de 2015 a las 16:46;13 de Febrero de 2015
Secretaria de Estado en los Despachos de Gobernacion , Justicia, y Descentralizacion (SGJD);SOL-SDHJGD-29-2015;Entregada en plazo;30 de Enero de 2015 a las 10:01;13 de Febrero de 2015
Secretaria de Finanzas (SEFIN);SOL-SEFIN-65-2015;Entregada en plazo;30 de Enero de 2015 a las 10:40;13 de Febrero de 2015
Direccion Ejecutiva de Ingresos (DEI);SOL-DEI-31-2015;Entregada en plazo;30 de Enero de 2015 a las 10:56;13 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-126-2015;Entregada en plazo;30 de Enero de 2015 a las 12:43;13 de Febrero de 2015
Universidad Nacional Autonoma de Honduras (UNAH);SOL-UNAH-68-2015;Entregada en plazo;30 de Enero de 2015 a las 13:03;27 de Febrero de 2015
Secretaria de Trabajo y Seguridad Social (STSS);SOL-STSS-15-2015;Entregada en plazo;30 de Enero de 2015 a las 13:08;13 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-127-2015;Entregada en plazo;30 de Enero de 2015 a las 13:48;13 de Febrero de 2015
Instituto Nacional de Conservacion y Desarrollo Forestal, Áreas Protegidas y Vida Silvestre (ICF);SOL-ICF-4-2015;Entregada fuera de plazo;1 de Febrero de 2015 a las 16:49;13 de Febrero de 2015
Instituto Nacional Agrario (INA);SOL-INA-20-2015;Entregada en plazo;1 de Febrero de 2015 a las 16:56;27 de Febrero de 2015
Instituto Nacional Agrario (INA);SOL-INA-21-2015;Entregada en plazo;1 de Febrero de 2015 a las 17:06;27 de Febrero de 2015
Secretaria de Desarrollo Economico;SOL-SCDSEC-101-2015;Entregada en plazo;2 de Febrero de 2015 a las 08:12;16 de Febrero de 2015
Secretaria de Trabajo y Seguridad Social (STSS);SOL-STSS-16-2015;Entregada en plazo;2 de Febrero de 2015 a las 08:42;16 de Febrero de 2015
Universidad Pedagogica Nacional Francisco Morazan (UPNFM);SOL-UPNFM-40-2015;Entregada en plazo;2 de Febrero de 2015 a las 10:37;16 de Febrero de 2015
Secretaria de Desarrollo Economico;SOL-SCDSEC-102-2015;Entregada en plazo;2 de Febrero de 2015 a las 11:11;16 de Febrero de 2015
Comision Nacional de Bancos y Seguros (CNBS);SOL-CNBS-31-2015;Entregada en plazo;2 de Febrero de 2015 a las 14:39;16 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-128-2015;Entregada en plazo;2 de Febrero de 2015 a las 14:39;16 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-129-2015;Entregada en plazo;2 de Febrero de 2015 a las 14:43;16 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-130-2015;Entregada en plazo;2 de Febrero de 2015 a las 14:47;16 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-131-2015;Entregada en plazo;2 de Febrero de 2015 a las 14:53;16 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-132-2015;Entregada en plazo;2 de Febrero de 2015 a las 15:00;16 de Febrero de 2015
Secretaria de Estado en los Despachos de Gobernacion , Justicia, y Descentralizacion (SGJD);SOL-SDHJGD-30-2015;Entregada en plazo;2 de Febrero de 2015 a las 16:53;17 de Febrero de 2015
Banco Central de Honduras (BCH);SOL-BCH-19-2015;No respondida;2 de Febrero de 2015 a las 20:21;16 de Febrero de 2015
Banco Central de Honduras (BCH);SOL-BCH-20-2015;No respondida;2 de Febrero de 2015 a las 20:26;16 de Febrero de 2015
Secretaria de Salud;SOL-SDS-25-2015;Entregada fuera de plazo;2 de Febrero de 2015 a las 21:43;16 de Febrero de 2015
Secretaria de Defensa;SOL-SDD-7-2015;Entregada en plazo;3 de Febrero de 2015 a las 11:15;17 de Febrero de 2015
Secretaria de Defensa;SOL-SDD-8-2015;Entregada en plazo;3 de Febrero de 2015 a las 11:28;17 de Febrero de 2015
Secretaria de Salud;SOL-SDS-26-2015;Entregada fuera de plazo;3 de Febrero de 2015 a las 11:48;17 de Febrero de 2015
Secretaria de Recursos Naturales y Ambiente (MiAmbiente+);SOL-SERNA-7-2015;Entregada fuera de plazo;3 de Febrero de 2015 a las 12:11;17 de Febrero de 2015
Secretaria de Recursos Naturales y Ambiente (MiAmbiente+);SOL-SERNA-8-2015;Entregada fuera de plazo;3 de Febrero de 2015 a las 12:49;17 de Febrero de 2015
Universidad Nacional Autonoma de Honduras (UNAH);SOL-UNAH-69-2015;Entregada en plazo;3 de Febrero de 2015 a las 14:23;17 de Febrero de 2015
Direccion Ejecutiva de Ingresos (DEI);SOL-DEI-32-2015;Entregada en plazo;3 de Febrero de 2015 a las 16:05;17 de Febrero de 2015
Alcaldia Municipal de San Pedro Sula, Cortes (ASPS);SOL-ASPS-8-2015;No respondida;4 de Febrero de 2015 a las 08:28;18 de Febrero de 2015
Secretaria de Desarrollo Economico;SOL-SCDSEC-103-2015;Entregada en plazo;4 de Febrero de 2015 a las 10:10;18 de Febrero de 2015
Direccion Ejecutiva de Ingresos (DEI);SOL-DEI-33-2015;Entregada en plazo;4 de Febrero de 2015 a las 10:36;18 de Febrero de 2015
Secretaria de Finanzas (SEFIN);SOL-SEFIN-66-2015;Entregada en plazo;4 de Febrero de 2015 a las 10:54;18 de Febrero de 2015
Secretaria de Agricultura y Ganaderia (SAG);SOL-SAG-37-2015;Entregada en plazo;4 de Febrero de 2015 a las 13:26;18 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-133-2015;Entregada en plazo;4 de Febrero de 2015 a las 13:27;18 de Febrero de 2015
Secretaria de Desarrollo Economico;SOL-SCDSEC-104-2015;Entregada en plazo;4 de Febrero de 2015 a las 14:11;18 de Febrero de 2015
Universidad Nacional Autonoma de Honduras (UNAH);SOL-UNAH-70-2015;Entregada en plazo;4 de Febrero de 2015 a las 15:53;4 de Marzo de 2015
Universidad Nacional Autonoma de Honduras (UNAH);SOL-UNAH-71-2015;Entregada en plazo;4 de Febrero de 2015 a las 16:00;4 de Marzo de 2015
Secretaria de Finanzas (SEFIN);SOL-SEFIN-67-2015;Entregada en plazo;4 de Febrero de 2015 a las 16:36;18 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-134-2015;Entregada en plazo;5 de Febrero de 2015 a las 09:51;19 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-135-2015;Entregada en plazo;5 de Febrero de 2015 a las 09:57;19 de Febrero de 2015
Secretaria de Agricultura y Ganaderia (SAG);SOL-SAG-38-2015;Entregada en plazo;5 de Febrero de 2015 a las 11:16;19 de Febrero de 2015
Instituto Hondureno de Mercadeo Agricola (IHMA);SOL-IHMA-2-2015;No respondida;5 de Febrero de 2015 a las 11:18;19 de Febrero de 2015
Poder Judicial(PJ);SOL-PJ-136-2015;Entregada en plazo;5 de Febrero de 2015 a las 14:02;19 de Febrero de 2015
Direccion Ejecutiva de Ingresos (DEI);SOL-DEI-34-2015;Entregada en plazo;5 de Febrero de 2015 a las 14:30;5 de Marzo de 2015
Poder Judicial(PJ);SOL-PJ-137-2015;Entregada en plazo;5 de Febrero de 2015 a las 15:20;19 de Febrero de 2015
